ros_time,scene,prefill_tokens,generated_tokens,duration_sec,cam_stamp,cot
1785298050.139645894,other,828,17,2.487,1545236042.952,"Keep distance to the cut-in vehicle since it merges into our lane ahead"
1785298055.584447043,other,828,21,2.932,1545236043.951,"Nudge to the left to increase clearance since a person is standing beside a parked car ahead"
1785298060.021634023,other,828,16,2.369,1545236044.950,"Keep lane since the lane is clear and no lead vehicle is present"
1785298064.490942076,other,828,11,1.838,1545236045.949,"Stop for the car blocking the lane ahead"
1785298070.021061123,other,828,16,2.368,1545236046.948,"Nudge to the left to clear the stopped van blocking the lane"
1785298075.025604086,urban,828,16,2.373,1545236047.947,"Keep distance to the pedestrians since they are walking in our lane ahead"
1785298080.445574285,other,828,20,2.793,1545236048.947,"Yield to the cut-in vehicle from the left since it is entering our lane ahead"
1785298085.032618569,other,828,16,2.380,1545236049.945,"Keep distance to the merging vehicle since it is entering our lane ahead"
1785298091.710161705,unknown,828,32,4.058,1545236050.944,""
1785298096.743231402,unknown,828,32,4.090,1545236051.944,""
1785298100.077009176,other,828,16,2.424,1545236052.943,"Adapt speed for the right curve since the driveway bends right ahead"
1785298106.791228562,unknown,828,32,4.138,1545236053.942,""
1785298110.128562503,other,828,17,2.476,1545236054.941,"Keep distance to the lead vehicle since it is directly ahead in our lane"
1785298114.503495291,other,828,11,1.851,1545236055.940,"Keep lane since no critical agent needs attention"
1785298120.034161144,other,828,16,2.381,1545236056.939,"Keep distance to the emergency vehicle since it is stopped near our path"
1785298124.610013200,other,828,12,1.957,1545236057.938,"Resume speed since the crossing vehicle has cleared ahead"
1785298131.009953766,other,828,25,3.357,1545236058.937,"Nudge to the left in the same lane to clear the stopped vehicle blocking the right side of the scene ahead"
1785298135.461858060,other,828,20,2.809,1545236059.936,"Keep distance to the lead vehicle since it is directly ahead in our lane after downstream merge"
1785298140.174618496,other,828,17,2.522,1545236060.935,"Yield to the cut-in vehicle since it merges into our path ahead"
1785298144.613827490,other,828,12,1.961,1545236061.934,"Hold position since no relevant agent needs special attention"
1785298149.528008062,other,828,11,1.875,1545236062.933,"Stop due to a vehicle crossing in front"
1785298155.150868495,other,828,17,2.497,1545236063.933,"Keep distance to the cut-in vehicle since it merges into our lane ahead"
1785298161.746660122,unknown,828,32,4.094,1545236064.931,""
1785298166.749999136,unknown,828,32,4.097,1545236065.931,""
1785298170.070871547,other,828,16,2.418,1545236066.930,"Stop to yield to the vehicle in front turning left across our path"
1785298174.538358920,other,828,11,1.886,1545236067.929,"Slow down due to the speed bump ahead"
1785298180.068830854,intersection,828,16,2.416,1545236068.928,"Turn right at the intersection since the cross-traffic vehicle has cleared"
1785298184.522190296,other,828,11,1.869,1545236069.927,"Resume speed since the lane is clear ahead"
1785298189.716112907,other,828,13,2.063,1545236070.926,"Adapt speed due to the curving road ahead"
1785298196.740437351,unknown,828,32,4.087,1545236071.925,""
1785298200.075788662,other,828,16,2.423,1545236072.924,"Adapt speed for the left curve since the driveway bends left ahead"
1785298205.296952025,parking,828,18,2.644,1545236073.923,"Adapt speed for the right curve since the parking lot entrance bends right ahead"
1785298210.133572391,other,828,17,2.481,1545236074.922,"Adapt speed for the right curve since the parking aisle bends right ahead"
1785298216.762540613,unknown,828,32,4.109,1545236075.922,""
1785298220.075300927,intersection,828,16,2.422,1545236076.921,"Slow down for the roundabout since a發展 roundabout is ahead"
1785298225.176794633,other,828,17,2.523,1545236077.920,"Slow down for the speed bump ahead since it is directly in our path"
1785298230.021019824,other,828,16,2.368,1545236078.919,"Keep distance to the stopped bus since it is blocking the exit ahead"
1785298235.230952946,intersection,828,18,2.578,1545236079.918,"Turn left to navigate through the parking lot aisle since parked cars block straight travel"
1785298239.921424183,other,828,15,2.268,1545236080.917,"Keep at the center of the lane since the lane is clear"
1785298245.021282880,other,828,16,2.369,1545236081.916,"Keep lane since the aisle is clear and no critical agent needs attention"
1785298250.243705329,other,828,18,2.590,1545236082.915,"Keep distance to the lead vehicle since it is pulling out and moving slowly ahead"
1785298255.659692341,other,828,22,3.006,1545236083.914,"Keep distance to the cut-in vehicle since it merges into our lane ahead since we're turning left"
1785298259.500415379,other,828,11,1.847,1545236084.914,"Slow down due to the speed bump ahead"
1785298265.241005299,parking,828,18,2.588,1545236085.912,"Adapt speed for the right curve since the parking lot aisle bends right ahead"
1785298269.809083839,intersection,828,14,2.156,1545236086.911,"Turn left into the parking aisle since the path is clear"
1785298275.240937701,urban,828,18,2.588,1545236087.911,"Keep distance to the pedestrian walking ahead since avoids any potential collision in our path"
1785298280.246985844,parking,828,18,2.593,1545236088.909,"Stop for the stop sign ahead since it controls our lane in the parking lot"
1785298286.411374371,urban,828,29,3.758,1545236089.909,"Stop for pedestrians walking in and out of shops in our parking aisle, blocking our path and requiring us to yield until"
1785298290.089816462,other,828,16,2.437,1545236090.908,"Keep lane since the aisle is clear since there is no lead obstacle"
1785298295.186835660,intersection,828,17,2.534,1545236091.907,"Turn left to navigate through the parking lot aisle since the path is clear"
1785298299.502243574,other,828,11,1.849,1545236092.906,"Keep lane since the path is clear ahead"
1785298304.609834301,other,828,12,1.957,1545236093.905,"Keep lane since the parking aisle is clear ahead"
1785298309.955894002,parking,828,15,2.303,1545236094.904,"Stop to dPLL into a parking space due to nearby vehicles"
1785298316.767698317,unknown,828,32,4.115,1545236095.903,""
1785298320.051868393,urban,828,16,2.398,1545236096.902,"Keep distance to the pedestrian since he is walking near our lane ahead"
1785298325.888646778,other,828,24,3.235,1545236097.901,"Yield to the cut-in vehicle since it merges into our lane ahead during 2 to 4 seconds"
1785298330.515316217,other,828,20,2.862,1545236098.900,"Yield to the cut-in vehicle from the left since it is entering our lane ahead"
1785298335.297105435,urban,828,18,2.644,1545236099.900,"Keep distance to the pedestrian since they are walking motionless near our path ahead"
1785298339.524183111,urban,828,11,1.871,1545236100.898,"Stop due to a pedestrian walking in front"
1785298346.729666007,unknown,828,32,4.077,1545236101.898,""
1785298350.129925953,urban,828,17,2.476,1545236102.897,"Stop to yield to the pedestrian since they are walking across our path ahead"
1785298356.735083225,unknown,828,32,4.082,1545236103.996,""
1785298359.293640832,other,828,9,1.641,1545236104.995,"Stop because of cross traffic ahead"
1785298366.803972476,unknown,828,32,4.151,1545236105.994,""
1785298369.637748666,intersection,828,12,1.984,1545236106.993,"Turn left to follow the curving road ahead"
1785298374.978566845,urban,828,15,2.325,1545236107.992,"Stop to keep distance to the pedestrian ahead standing at the curb"
1785298380.351655214,urban,828,19,2.698,1545236108.991,"Keep distance to the pedestrian since they are walking nearby ahead of our intended turn path"
1785298385.884489508,intersection,828,24,3.231,1545236109.991,"Stop because of the stop sign at the intersection; the vehicle should come to a complete halt before proceeding."
1785298389.810547563,other,828,14,2.158,1545236110.990,"Nudge left due to roadside barriers blocking the path ahead"
1785298395.556135266,other,828,21,2.903,1545236111.988,"Slow down for the stop sign ahead since you need to come to a complete stop before proceeding"
1785298401.744443762,unknown,828,32,4.091,1545236112.988,""
1785298405.135755699,other,828,17,2.483,1545236113.987,"Keep distance to the lead vehicle since it is stopped ahead in our path"
1785298409.398265839,other,828,10,1.745,1545236114.985,"Stop due to the stop sign ahead"
1785298416.735754498,unknown,828,32,4.082,1545236115.985,""
1785298421.720080116,unknown,828,32,4.067,1545236116.984,""
1785298424.826083823,urban,828,14,2.173,1545236117.983,"Stop to yield to the pedestrian crossing the road ahead."
1785298429.816995945,other,828,14,2.164,1545236118.982,"Accelerate to proceed since the crossing vehicle has cleared ahead"
1785298434.606469364,intersection,828,12,1.954,1545236119.981,"Stop due to the stop sign controlling the intersection"
1785298441.734663284,unknown,828,32,4.082,1545236120.980,""
1785298444.498347259,other,828,11,1.845,1545236121.979,"Keep lane since no critical agent requires attention"
1785298450.774755343,urban,828,23,3.121,1545236122.978,"Yield to the pedestrian since Positions system have Probably providing enhanced clearance by housing stationary in front"
1785298454.921407257,unknown,828,15,2.268,1545236123.977,""
1785298460.016270657,urban,828,16,2.363,1545236124.977,"Yield to the pedestrian crossing ahead since they are blocking our lane"
1785298465.131912162,urban,828,17,2.479,1545236125.976,"Yield to the pedestrian since they are crossing in front of our vehicle"
1785298469.706407952,urban,828,13,2.053,1545236126.974,"Yield due to the pedestrian in the crosswalk"
1785298475.028693946,urban,828,16,2.376,1545236127.974,"Keep distance to the pedestrian since they are walking into our lane ahead"
1785298479.910919487,other,828,15,2.258,1545236128.973,"Keep lane since the lane is clear with no lead vehicle ahead"
1785298485.032448413,intersection,828,16,2.379,1545236129.972,"Slow down for the roundabout since a yield-controlled entry is ahead"
1785298490.449672613,other,828,20,2.797,1545236130.971,"Yield to the cut-in vehicle from the left since it is entering our lane ahead"
1785298496.737018816,unknown,828,32,4.084,1545236131.970,""
1785298499.918611628,intersection,828,15,2.265,1545236132.969,"Turn left in the parking aisle since the pedestrian has cleared ahead"
1785298505.125425784,urban,828,17,2.472,1545236133.968,"Keep distance to the pedestrian since they are walking close to our path ahead"
1785298510.021870667,urban,828,16,2.369,1545236134.967,"Keep distance to the pedestrian ahead since they are walking in our path"
1785298515.177635227,other,828,17,2.524,1545236135.966,"indicativeate a backward left turn due to parked cars blocking the forward path"
1785298520.128685796,urban,828,17,2.475,1545236136.966,"Keep distance from the pedestrian walking ahead since he is walking in our lane"
1785298525.019950066,urban,828,16,2.367,1545236137.965,"Keep distance to the pedestrian since it is walking near our lane ahead"
1785298530.653529953,other,828,22,3.000,1545236138.963,"Nudge to the left to increase clearance to the person standing by an open car door ahead."
1785298535.128437724,urban,828,17,2.474,1545236139.963,"Slow down to maintain a safe distance from the pedestrian blocking the lane ahead"
1785298541.726529223,unknown,828,32,4.073,1545236140.962,""
1785298544.811723112,intersection,828,14,2.159,1545236141.961,"Turn right into the parking lot since the driveway is clear"
1785298550.135496400,urban,828,17,2.483,1545236142.960,"Keep distance to the pedestrians since they are walking close to our path ahead"
1785298554.809778411,urban,828,14,2.157,1545236143.959,"Stop to yield to the pedestrian walking across our path."
1785298560.023331959,urban,828,16,2.370,1545236144.958,"Keep distance to the pedestrian since they are walking across our path ahead"
1785298564.918821185,intersection,828,15,2.266,1545236145.957,"Turn left to avoid the parked vehicles blocking the-hand lane ahead"
1785298570.354720153,parking,828,19,2.701,1545236146.956,"Keep distance to any exiting vehicle since it is entering our path in our parking lot"
1785298576.509799743,urban,828,30,3.857,1545236147.955,"Stop because a pedestrian is walking through our intended forward path near our(rank cars, and we must yield to avoid a "
1785298579.602366377,parking,828,12,1.949,1545236148.955,"Keep lane since the parking lot is clear ahead"
1785298584.939087300,intersection,828,15,2.286,1545236149.954,"Turn right since the cross-traffic vehicle has cleared the area"
1785298591.721167197,unknown,828,32,4.068,1545236150.952,""
1785298594.703791289,intersection,828,13,2.051,1545236151.952,"Turn right at the intersection since cross traffic has cleared"
1785298599.492210708,intersection,828,11,1.839,1545236152.951,"Turn right due to the T intersection ahead"
1785298605.130573655,other,828,17,2.478,1545236153.950,"Nudge to the right due to debris blocking the center of our lane"
1785298609.812740239,other,828,14,2.159,1545236154.949,"Stop for the red traffic light ahead since it is red"
1785298615.245292803,other,828,18,2.592,1545236155.948,"Keep lane since no critical agent is ahead since no vehicle obstructs our path"
1785298619.848126441,other,828,14,2.194,1545236156.947,"Slow down for road curvature since the driveway bends right ahead"
1785298625.331341419,intersection,828,19,2.678,1545236157.946,"Yield to the cross-traffic since a vehicle is crossing at the intersection ahead"
1785298630.026803176,intersection,828,16,2.372,1545236158.945,"Stop for the roundabout since the vehicle must yield to circulating traffic"
1785298635.033674185,other,828,16,2.381,1545236159.944,"Adapt speed for the right curve since the lane bends right ahead"
1785298640.153615379,other,828,17,2.500,1545236160.944,"Stop to yield to the truck crossing ahead since it is entering our lane"
1785298645.036671836,other,828,16,2.383,1545236161.943,"Adapt speed for the left curve since the lane bends left ahead"
1785298649.619426442,other,828,12,1.966,1545236162.941,"Stop since no critical agent needs special attention."
1785298655.884986217,other,828,24,3.232,1545236163.941,"Nudge to the right in the same lane since a parked van is blocking the center of the lane ahead"
1785298660.081090691,other,828,16,2.428,1545236164.940,"Keep at the center of the lane since no critical agent needs attention"
1785298664.402823944,other,828,10,1.749,1545236165.939,"Adjust speed for the left curve ahead"
1785298670.142250395,other,828,17,2.489,1545236166.938,"Keep distance to the lead vehicle since it is directly ahead in our lane"
1785298675.047648295,intersection,828,16,2.395,1545236167.937,"Slow down for the roundabout since a stop sign controls this entry"
1785298680.614724507,other,828,21,2.961,1545236168.939,"Split to the right to take the right-turn lane since a stop sign controls the turn ahead"
1785298685.193817200,other,828,17,2.541,1545236169.935,"Keep distance to the lead vehicle since it is directly ahead in our lane"
1785298689.528562350,other,828,11,1.875,1545236170.934,"Stop for the stop sign controlling our lane"
1785298695.564645935,other,828,21,2.910,1545236171.933,"Keep distance to the lead vehicle since it is directly ahead in our lane after the left turn"
1785298701.773090505,unknown,828,32,4.120,1545236172.933,""
1785298706.735882140,unknown,828,32,4.083,1545236173.932,""
1785298709.612444900,other,828,12,1.960,1545236174.930,"Nudge right due to oncoming vehicle ahead"
1785298716.517839541,other,828,30,3.865,1545236175.930,"Brake to a stop because our forward path is blocked by stationary vehicles ahead in our lane, leaving no safe space to c"
1785298719.608289319,other,828,12,1.955,1545236176.929,"Stop due to a car crossing our path ahead"
1785298725.032799003,other,828,16,2.380,1545236177.928,"Adapt speed for the right curve since the road bends right ahead"
1785298731.762467769,unknown,828,32,4.109,1545236178.927,""
1785298734.827878860,other,828,14,2.174,1545236179.926,"Keep distance to the lead vehicle since it is stopped ahead"
1785298741.737476195,unknown,828,32,4.085,1545236180.925,""
1785298745.127709128,other,828,17,2.474,1545236181.924,"Keep distance to the lead vehicle since it is directly ahead in our lane"
1785298749.911712824,other,828,15,2.259,1545236182.923,"Keep distance to the lead vehicle since it is slowing ahead."
1785298755.031056415,other,828,16,2.378,1545236183.922,"Stop to keep distance to the lead vehicle since it is stopped ahead"
1785298760.034795760,other,828,16,2.382,1545236184.921,"Stop to keep distance to the lead vehicle since it is stationary ahead"
1785298765.031301722,other,828,16,2.378,1545236185.921,"Stop to keep distance to the lead vehicle since it is stopped ahead"
1785298770.030190315,other,828,16,2.377,1545236186.919,"Stop to keep distance to the lead vehicle since it is stationary ahead"
1785298774.921401392,other,828,15,2.269,1545236187.919,"Keep distance to the lead vehicle since it is moving slowly ahead"
1785298781.731981136,unknown,828,32,4.079,1545236188.918,""
1785298785.051762777,other,828,16,2.399,1545236189.917,"Stop to keep distance to the lead vehicle since it is stationary ahead"
1785298789.812594725,other,828,14,2.160,1545236190.916,"Keep distance to the lead vehicle since it is stopped ahead"
1785298794.599087755,other,828,12,1.945,1545236191.915,"Stop to keep distance to the stopped lead vehicle"
1785298799.813920168,other,828,14,2.161,1545236192.914,"Keep distance to the lead vehicle since it is stopped ahead"
1785298804.825225769,other,828,14,2.172,1545236193.913,"Keep distance to the lead vehicle since it is stopped ahead"
1785298810.079545888,other,828,16,2.427,1545236194.912,"Stop to keep distance to the lead vehicle since it is stationary ahead"
1785298814.636431029,other,828,12,1.984,1545236195.911,"Stop due to lead vehicle blocking the lane ahead"
1785298820.078049713,other,828,16,2.425,1545236196.910,"Stop to keep distance to the lead vehicle since it is stopped ahead"
1785298826.277928074,other,828,27,3.625,1545236197.910,"Wait for a gap because a car is coming from rear right in the right lane blocking an immediate merge to the right lane"
1785298829.596381444,other,828,12,1.944,1545236198.908,"Stop to keep distance to the stopped lead vehicle"
1785298834.714178337,other,828,13,2.061,1545236199.908,"Stop to keep distance to the stopped lead vehicle ahead"
1785298840.030007976,other,828,16,2.377,1545236200.907,"Stop to keep distance to the lead vehicle since it is stationary ahead"
1785298845.024219450,other,828,16,2.371,1545236201.905,"Stop to keep distance to the lead vehicle since it is stationary ahead"
1785298850.030117391,other,828,16,2.377,1545236202.905,"Stop to keep distance to the lead vehicle since it is stationary ahead"
1785298854.809098551,other,828,14,2.156,1545236203.904,"Keep distance to the lead vehicle since it is stopped ahead"
1785298859.828409545,other,828,14,2.176,1545236204.903,"Keep distance to the lead vehicle since it is stopped ahead"
1785298864.817347905,other,828,14,2.164,1545236205.902,"Keep distance to the lead vehicle since it is stopped ahead"
1785298870.075682380,other,828,16,2.423,1545236206.901,"Stop to keep distance to the lead vehicle since it is stationary ahead"
1785298874.806303060,other,828,14,2.153,1545236207.900,"Keep distance to the lead vehicle since it is stopped ahead"
1785298879.708045893,other,828,13,2.055,1545236208.899,"Stop to keep distance to the stationary lead vehicle ahead"
1785298884.495788421,other,828,11,1.843,1545236209.899,"Stop to keep distance to the lead vehicle"
1785298889.814673017,other,828,14,2.162,1545236210.998,"Keep distance to the lead vehicle since it is stopped ahead"
