clip_id,t0_us,chunk,a_v1_5_cot,b_v2_cot,tfidf_cosine,bert_cosine,a_v1_5_min_ade_m,b_v2_min_ade_m,a_v1_5_min_fde_m,b_v2_min_fde_m,a_v1_5_duration_sec,b_v2_duration_sec,a_v1_5_prefill_tokens,b_v2_prefill_tokens,a_v1_5_generated_tokens,b_v2_generated_tokens
e0772c6e-1524-494f-b16f-84ca1a700a7b,13100000,chunk_0251,Nudge to the left to clear the construction dumpster blocking the right side of the lane,Nudge left to pass the dumpster obstructing the lane.,0.2512943641363742,0.755226,3.8871,2.6115,7.5798,6.2077,5.309,14.618,3073,4580,20,12
e0772c6e-1524-494f-b16f-84ca1a700a7b,14100000,chunk_0251,Slow down due to lane narrowing from roadwork ahead,Nudge left to pass the dumpster blocking part of the lane.,0.015132596402350056,0.28888252,2.5895,0.2728,4.1408,1.455,4.498,14.789,3073,4580,13,13
e0772c6e-1524-494f-b16f-84ca1a700a7b,15100000,chunk_0251,Yield to the cross-traffic vehicle since it is crossing ahead of our lane,Slow down due to speed bumps ahead,0.01453288928714179,0.30303907,0.6063,1.7414,0.9705,3.7268,5.185,12.181,3073,4580,19,7
e0772c6e-1524-494f-b16f-84ca1a700a7b,16100000,chunk_0251,Slow down to maintain safe distance to the stopped vehicle blocking the lane ahead,Maintain low speed due to lane narrowing from construction barriers,0.06202113133068614,0.5955019,2.8195,0.969,3.6856,0.6541,4.963,12.725,3073,4580,17,11
e0772c6e-1524-494f-b16f-84ca1a700a7b,17100000,chunk_0251,Slow down due to the narrowed lane at a work zone,Slow down due to lane narrowing from construction barriers ahead,0.16725713543180326,0.6768912,3.0978,2.4936,7.0763,6.5244,4.584,12.1,3073,4580,14,10
e0772c6e-1524-494f-b16f-84ca1a700a7b,18100000,chunk_0251,Nudge to the left to clear the construction dumpster blocking the right side of our lane,Slow down due to barricades narrowing the lane ahead,0.03205748273284922,0.42311463,1.2556,1.3758,3.0882,2.5864,5.292,11.978,3073,4580,20,10
e0772c6e-1524-494f-b16f-84ca1a700a7b,19100000,chunk_0251,Nudge to the left to clear the construction barricades blocking the right side of our lane,Nudge left to avoid the construction barriers intruding into the lane,0.22246420859856184,0.7809245,0.6528,0.5123,1.6804,0.2475,5.377,13.055,3073,4580,21,13
594d2c54-ca9a-4bda-be8e-532b2fc359fb,5100000,chunk_0251,Stop for the red traffic light since it is red,Stop because of red traffic light,0.32257033669141255,0.95584446,0.6381,1.4334,2.0478,4.0428,4.499,11.102,3073,4580,13,6
594d2c54-ca9a-4bda-be8e-532b2fc359fb,6100000,chunk_0251,Stop for the red traffic light ahead,Stop due to red traffic light at the intersection,0.2891194791313757,0.87250173,0.7394,0.5329,1.976,1.4055,4.153,11.766,3073,4580,10,9
594d2c54-ca9a-4bda-be8e-532b2fc359fb,7100000,chunk_0251,Stop due to red traffic light,Stop because of red traffic light,0.4727932376023827,0.97883594,0.9279,0.916,1.044,0.9662,4.042,10.875,3073,4580,9,6
594d2c54-ca9a-4bda-be8e-532b2fc359fb,8100000,chunk_0251,Stop due to a red traffic light,Stop because of red traffic light,0.4727932376023827,0.9778602,0.7453,0.1923,1.6316,0.3745,4.148,10.917,3073,4580,10,6
594d2c54-ca9a-4bda-be8e-532b2fc359fb,9100000,chunk_0251,Stop at the stop line since the straight traffic light is red,Stop for the red traffic light.,0.2084915985716619,0.8191391,0.6764,0.962,0.0669,1.5241,4.71,10.973,3073,4580,15,7
594d2c54-ca9a-4bda-be8e-532b2fc359fb,10100000,chunk_0251,Stop for the red traffic light since the signal is red,Stop at the stop line because the traffic light is red.,0.2586235466619392,0.8788179,0.572,0.4535,0.8429,0.5132,4.622,12.409,3073,4580,14,12
594d2c54-ca9a-4bda-be8e-532b2fc359fb,11100000,chunk_0251,Stop due to red traffic light,Stop because of red traffic light,0.4727932376023827,0.97883594,0.3031,0.0947,0.2616,0.2602,4.038,10.511,3073,4580,9,6
594d2c54-ca9a-4bda-be8e-532b2fc359fb,12100000,chunk_0251,Stop since the traffic light is red,Stop because of red traffic light,0.27534861032228697,0.9652972,0.4893,0.0885,0.8534,0.233,4.154,10.628,3073,4580,10,6
594d2c54-ca9a-4bda-be8e-532b2fc359fb,13100000,chunk_0251,Stop due to red traffic light,Stop due to red traffic light.,1.0,0.93517846,0.0691,0.1006,0.1783,0.1744,4.042,10.951,3073,4580,9,7
594d2c54-ca9a-4bda-be8e-532b2fc359fb,14100000,chunk_0251,Stop due to red traffic light,Stop due to red traffic light.,1.0,0.93517846,0.0199,0.0617,0.0473,0.1291,4.046,10.598,3073,4580,9,7
594d2c54-ca9a-4bda-be8e-532b2fc359fb,15100000,chunk_0251,Brake to a stop due to the red traffic light,Stop due to red traffic light.,0.555547203348091,0.7960745,0.0026,0.0017,0.0048,0.0049,4.566,11.049,3073,4580,14,7
594d2c54-ca9a-4bda-be8e-532b2fc359fb,16100000,chunk_0251,Stop due to red traffic light,Stop because of red traffic light.,0.4727932376023827,0.9107218,0.0154,0.0008,0.1518,0.0001,4.059,10.67,3073,4580,9,7
594d2c54-ca9a-4bda-be8e-532b2fc359fb,17100000,chunk_0251,Stop for the red traffic light,Stop due to red traffic light.,0.47035048920331984,0.93869245,0.0011,0.0032,0.002,0.0057,4.033,10.906,3073,4580,9,7
594d2c54-ca9a-4bda-be8e-532b2fc359fb,18100000,chunk_0251,Stop for the red traffic light since the signal is red,Stop because of red traffic light.,0.2811005398945715,0.8868892,0.0004,0.0018,0.0012,0.0045,4.606,10.76,3073,4580,14,7
594d2c54-ca9a-4bda-be8e-532b2fc359fb,19100000,chunk_0251,Stop at the stop line since the traffic light is red,Stop because of red traffic light ahead.,0.1940769024070967,0.84476155,0.0001,0.0005,0.0,0.001,4.631,11.292,3073,4580,14,8
4f7b34b6-87e5-4cf9-a790-a691a15d9e95,5100000,chunk_0251,Accelerate to proceed through the intersection since the straight traffic light is green,Accelerate to proceed through the intersection since the straight traffic light is green.,1.0000000000000007,0.969242,0.4707,1.1176,0.3847,3.7303,4.975,13.501,3073,4580,17,15
4f7b34b6-87e5-4cf9-a790-a691a15d9e95,6100000,chunk_0251,Nudge left due to construction barricades blocking the right side of our lane,Keep speed through the intersection since the traffic light is green.,0.008527454589018314,0.3540777,0.6263,1.1406,1.8485,3.3679,5.074,12.298,3073,4580,18,12
4f7b34b6-87e5-4cf9-a790-a691a15d9e95,7100000,chunk_0251,Keep lane since the lane is clear,Keep speed through the intersection since the traffic light is green.,0.16595967446049353,0.47006804,1.3947,1.2605,2.3586,2.8958,4.168,12.484,3073,4580,10,12
4f7b34b6-87e5-4cf9-a790-a691a15d9e95,8100000,chunk_0251,Maintain speed due to a clear lane with no lead vehicle ahead,Keep at the center of the lane to continue driving. No critical agent need special attention.,0.05982634717409345,0.5298004,0.6284,0.3866,2.5099,0.6942,4.867,14.192,3073,4580,16,18
4f7b34b6-87e5-4cf9-a790-a691a15d9e95,9100000,chunk_0251,Nudge to the left to clear the right side work zone barrier,Keep lane because the lane ahead is clear.,0.06374223419730225,0.32084683,1.1775,1.787,3.9682,5.8859,4.85,11.369,3073,4580,16,9
4f7b34b6-87e5-4cf9-a790-a691a15d9e95,10100000,chunk_0251,Keep lane since the path is clear ahead.,Maintain speed due to clear lane ahead,0.1080962753786161,0.7857907,1.5387,1.4517,5.0537,4.7671,4.39,10.908,3073,4580,12,8
4f7b34b6-87e5-4cf9-a790-a691a15d9e95,11100000,chunk_0251,Keep distance to the cut-in vehicle since it merges into our lane ahead,Keep lane because the lane ahead is clear.,0.10552896796547098,0.6246581,1.5465,1.3183,6.2548,5.3971,4.952,11.404,3073,4580,17,9
4f7b34b6-87e5-4cf9-a790-a691a15d9e95,12100000,chunk_0251,Keep distance to the lead vehicle since it is directly ahead in our lane,Keep at the center of the lane to continue driving since no critical component affects the lane ahead.,0.07169854856482852,0.57964635,0.6357,1.6652,3.5123,5.6348,4.975,14.434,3073,4580,17,19
4f7b34b6-87e5-4cf9-a790-a691a15d9e95,13100000,chunk_0251,Keep distance to the lead vehicle since it is directly ahead in our lane,Keep at the center of the lane because no immediate obstacle requires action.,0.037262521508425316,0.5739456,0.1938,0.1965,0.3465,0.4073,4.955,12.977,3073,4580,17,14
4f7b34b6-87e5-4cf9-a790-a691a15d9e95,14100000,chunk_0251,Keep distance to the lead vehicle since it is directly ahead in our lane,Keep distance to the lead vehicle because traffic ahead slows.,0.27298931464805454,0.8619796,2.3947,1.1076,5.4158,2.6979,4.944,12.125,3073,4580,17,11
4f7b34b6-87e5-4cf9-a790-a691a15d9e95,15100000,chunk_0251,Decelerate to maintain a safe distance to the lead vehicle since it is directly ahead in our lane,Maintain a safe distance from the lead vehicle ahead.,0.4315028615087908,0.7596757,0.4393,0.413,1.5892,2.0059,5.655,12.023,3073,4580,23,11
4f7b34b6-87e5-4cf9-a790-a691a15d9e95,16100000,chunk_0251,Keep distance to the lead vehicle since it is directly ahead in our lane and moving slowly,Decelerate to maintain a safe distance from the lead vehicle.,0.10908793906046171,0.6040436,0.8377,0.8734,2.2753,1.7469,5.319,12.688,3073,4580,20,13
4f7b34b6-87e5-4cf9-a790-a691a15d9e95,17100000,chunk_0251,Adapt speed to maintain a safe distance from the lead vehicle since it is slowing ahead in our lane,Decelerate to maintain a safe distance from the lead vehicle.,0.5658001244792128,0.57993066,0.2867,0.3773,0.5214,0.7444,5.63,12.655,3073,4580,23,13
4f7b34b6-87e5-4cf9-a790-a691a15d9e95,18100000,chunk_0251,Keep distance to the lead vehicle since it is directly ahead in our lane,Keep distance to the lead vehicle because it slows ahead.,0.3247011025495762,0.8377096,0.7161,0.1297,2.1239,0.0236,4.939,11.858,3073,4580,17,11
4f7b34b6-87e5-4cf9-a790-a691a15d9e95,19100000,chunk_0251,Keep distance to the lead vehicle since it is slowing ahead,Decelerate to maintain a safe distance from the lead vehicle ahead.,0.16562432218349799,0.659968,0.0483,0.0679,0.1511,0.3235,4.616,13.163,3073,4580,14,14
40a11a64-aed4-49c1-b747-b3befdcd708d,5100000,chunk_0270,Match speed due to the lead vehicle ahead,Accelerate gently due to the lead vehicle increasing speed,0.21082715501549243,0.57986087,13.1225,12.5761,33.6132,31.8675,4.991,19.512,3073,4580,11,10
40a11a64-aed4-49c1-b747-b3befdcd708d,6100000,chunk_0270,Stop to yield to pedestrians walking across the crosswalk ahead,Stop to yield to the pedestrians crossing the crosswalk ahead.,0.5245768945677862,0.95665544,0.1862,1.8215,1.1445,8.0861,4.654,20.346,3073,4580,14,12
40a11a64-aed4-49c1-b747-b3befdcd708d,7100000,chunk_0270,,Stop to yield to the pedestrians crossing the crosswalk ahead.,0.0,0.14749849,6.7692,0.2968,16.9617,1.1817,10.483,18.761,3073,4580,64,12
40a11a64-aed4-49c1-b747-b3befdcd708d,8100000,chunk_0270,"Stop to yield to the pedestrians crossing into our lane ahead, as they begin entering from the right and/ aligned with our forward path, blocking our way forward towards the roadway.",Stop to yield to the pedestrians crossing the road ahead.,0.22382249333383542,0.89493597,0.2844,1.2635,2.1288,6.0672,7.46,18.034,3073,4580,38,11
40a11a64-aed4-49c1-b747-b3befdcd708d,9100000,chunk_0270,Yield to a pedestrian in the crosswalk,Yield due to pedestrians crossing the crosswalk ahead,0.21308329123750971,0.87754154,0.1538,0.626,0.4406,3.9896,4.408,17.425,3073,4580,12,10
40a11a64-aed4-49c1-b747-b3befdcd708d,10100000,chunk_0270,Yield by slowing due to pedestrians in the crosswalk,Yield due to pedestrians crossing the crosswalk,0.37894698406242316,0.9181335,1.1923,0.2902,5.3336,1.6558,4.647,16.909,3073,4580,14,9
40a11a64-aed4-49c1-b747-b3befdcd708d,11100000,chunk_0270,Yield due to a pedestrian walking across the crosswalk ahead,Yield due to pedestrians crossing the crosswalk ahead,0.3840893825699438,0.94668734,0.4213,1.1721,0.5578,3.015,4.768,17.458,3073,4580,15,10
40a11a64-aed4-49c1-b747-b3befdcd708d,12100000,chunk_0270,Stop to yield to the pedestrians in the crosswalk ahead,Stop to yield to the pedestrians crossing ahead.,0.6194221337266496,0.917186,0.6338,5.7261,3.1727,16.2144,4.623,16.844,3073,4580,14,9
40a11a64-aed4-49c1-b747-b3befdcd708d,13100000,chunk_0270,Yield to the pedestrian crossing our lane in front since a person is walking across our path between 2 and 4 seconds,Stop to yield to the pedestrians crossing the road ahead.,0.08277430230522984,0.7307689,1.781,0.5386,2.6591,0.3253,6.278,18.112,3073,4580,28,11
40a11a64-aed4-49c1-b747-b3befdcd708d,14100000,chunk_0270,Stop to yield to the pedestrian since they are crossing ahead in our lane,Stop to yield to the pedestrians crossing ahead.,0.41571654034717764,0.9082352,1.3031,0.9466,0.7463,2.1149,5.001,16.997,3073,4580,17,9
40a11a64-aed4-49c1-b747-b3befdcd708d,15100000,chunk_0270,Yield due to a pedestrian walking across the road ahead,Yield due to pedestrians crossing the crosswalk ahead,0.15915504789846627,0.8823652,0.4575,2.0598,1.8958,5.541,4.656,17.656,3073,4580,14,10
40a11a64-aed4-49c1-b747-b3befdcd708d,16100000,chunk_0270,Keep distance to the cut-in scooter since it merges into our lane ahead,Keep distance to the lead vehicle because it is directly ahead in the same lane.,0.17731614925388958,0.5403824,5.5383,3.0373,14.4321,10.3533,5.024,20.888,3073,4580,17,16
40a11a64-aed4-49c1-b747-b3befdcd708d,17100000,chunk_0270,Keep distance from the lead van since it is directly ahead in our lane,Nudge left to pass the lead vehicle ahead,0.06568737454870036,0.5923823,1.2469,2.9087,2.869,12.1596,5.015,17.187,3073,4580,17,9
40a11a64-aed4-49c1-b747-b3befdcd708d,18100000,chunk_0270,Nudge left due to the stopped van blocking the right side of our lane,Keep distance to the lead vehicle because a van ahead is slowing in the same lane.,0.09377055268920184,0.5210739,2.2965,0.9167,5.7497,2.4712,5.115,21.41,3073,4580,18,17
40a11a64-aed4-49c1-b747-b3befdcd708d,19100000,chunk_0270,Nudge left due to the van blocking the right side of our lane,Keep distance to the lead vehicle since it is slowing ahead.,0.029047947655921846,0.3429075,2.3875,1.407,4.3116,2.913,4.984,18.873,3073,4580,17,12
1de484ec-e29f-41ca-b4e8-4c91e0a1d66c,5100000,chunk_0270,Keep distance to the lead vehicle since it is slowing ahead,Slow down due to the lead vehicle stopping ahead.,0.17180540706384526,0.7768426,0.7556,2.0699,1.2458,4.6318,4.648,16.03,3073,4580,14,10
1de484ec-e29f-41ca-b4e8-4c91e0a1d66c,6100000,chunk_0270,Slow down to maintain a safe gap behind the stopped lead vehicle ahead,Slow down due to the lead vehicle stopping ahead.,0.20225382554946628,0.79474545,0.7579,0.6145,1.6563,0.387,4.871,17.017,3073,4580,16,10
1de484ec-e29f-41ca-b4e8-4c91e0a1d66c,7100000,chunk_0270,Stop to keep distance to the lead vehicle blocking the lane ahead,Stop to keep distance to the stopped lead vehicle blocking the lane.,0.828919261947163,0.91261065,0.1613,0.2386,0.1276,0.1621,4.765,17.216,3073,4580,15,13
1de484ec-e29f-41ca-b4e8-4c91e0a1d66c,8100000,chunk_0270,Yield to the pedestrian since a person is walking across the crosswalk ahead,Stop to yield to the pedestrian crossing ahead.,0.2292006276994605,0.7908859,0.319,0.5531,0.6999,2.0523,5.121,14.668,3073,4580,18,9
1de484ec-e29f-41ca-b4e8-4c91e0a1d66c,9100000,chunk_0270,Yield to the pedestrian exiting the vehicle ahead,Yield by slowing due to the pedestrian crossing ahead,0.17171145851040184,0.79896253,0.3521,1.3261,2.184,2.591,4.405,14.317,3073,4580,12,10
1de484ec-e29f-41ca-b4e8-4c91e0a1d66c,10100000,chunk_0270,Yield due to the person exiting the vehicle ahead blocking the lane,Yield due to a pedestrian exiting the vehicle ahead,0.5713986804705908,0.8445717,0.5176,0.8535,2.6373,4.1857,4.856,13.609,3073,4580,16,10
1de484ec-e29f-41ca-b4e8-4c91e0a1d66c,11100000,chunk_0270,Yield due to the stopped lead vehicle blocking our lane,Stop due to red traffic light,0.06477102953132642,0.44789022,0.7199,0.1977,3.4855,0.6452,4.662,10.566,3073,4580,14,6
1de484ec-e29f-41ca-b4e8-4c91e0a1d66c,12100000,chunk_0270,Keep distance to the lead vehicle since it is moving slowly ahead,Keep distance to the lead vehicle because it is moving slowly ahead.,0.8534013684458761,0.9488617,0.4251,2.2077,0.5026,3.85,4.776,12.893,3073,4580,15,13
1de484ec-e29f-41ca-b4e8-4c91e0a1d66c,13100000,chunk_0270,Yield to the pedestrian entering our lane ahead,Yield due to a pedestrian crossing the crosswalk ahead,0.12507118758335406,0.771306,0.3578,3.4418,1.156,7.6206,4.421,12.052,3073,4580,12,11
1de484ec-e29f-41ca-b4e8-4c91e0a1d66c,14100000,chunk_0270,Keep distance to the lead vehicle since it is directly ahead in our lane,Accelerate due to the lead vehicle moving ahead,0.15664933815198423,0.6540334,1.647,0.8382,4.1399,1.4387,5.01,11.7,3073,4580,17,9
1de484ec-e29f-41ca-b4e8-4c91e0a1d66c,15100000,chunk_0270,Yield to the lead vehicle since it is stopped ahead,Yield due to a pedestrian in the crosswalk requiring speed reduction,0.03738046967126499,0.43749547,0.4102,0.706,0.7172,2.1543,4.644,12.738,3073,4580,14,13
1de484ec-e29f-41ca-b4e8-4c91e0a1d66c,16100000,chunk_0270,Yield to cross traffic at an unsignalized intersection,Yield due to the lead vehicle ahead slowing,0.026547513525072723,0.4267,0.1535,0.7217,0.2883,2.0783,4.673,11.43,3073,4580,14,9
1de484ec-e29f-41ca-b4e8-4c91e0a1d66c,17100000,chunk_0270,Yield due to the lead vehicle stopped ahead blocking our path,Yield by slowing due to pedestrians in the crosswalk.,0.05880301430670448,0.5128764,0.0487,0.3463,0.162,1.6426,4.775,12.183,3073,4580,15,12
1de484ec-e29f-41ca-b4e8-4c91e0a1d66c,18100000,chunk_0270,,Keep distance to the lead vehicle because it is turning right ahead.,0.0,0.10107011,0.6137,0.07,1.4953,0.1901,4.65,12.482,3073,4580,14,13
1de484ec-e29f-41ca-b4e8-4c91e0a1d66c,19100000,chunk_0270,Adjust speed and keep safe distance due to the lead vehicle turning right ahead,Keep distance to the lead vehicle because it is turning right ahead.,0.39886199683287915,0.85893935,0.0431,0.0216,0.0991,0.03,5.02,12.474,3073,4580,17,13
13f0af4c-2565-4a4d-b765-7f397f1d1684,5100000,chunk_0270,Keep lane since the lane is clear,Yield to the pedestrian crossing the crosswalk ahead.,0.020413229936945356,0.28531522,2.0913,1.5388,4.5441,4.5374,4.191,11.923,3073,4580,10,11
13f0af4c-2565-4a4d-b765-7f397f1d1684,6100000,chunk_0270,Yield due to a pedestrian walking across the crosswalk ahead requiring lower speed,Yield due to a pedestrian crossing the road ahead,0.19187567177208142,0.8754871,2.1277,3.8345,3.6176,8.0672,5.136,11.515,3073,4580,18,10
13f0af4c-2565-4a4d-b765-7f397f1d1684,7100000,chunk_0270,Yield due to the pedestrian in the crosswalk,Yield due to a pedestrian crossing the road ahead,0.24368648463032636,0.87800646,1.5955,0.4424,5.4154,1.6238,4.537,11.469,3073,4580,13,10
13f0af4c-2565-4a4d-b765-7f397f1d1684,8100000,chunk_0270,"Change to the right lane and enter the side street due to crossing pedestrians ahead and roadwork narrowing, then proceed slowly past construction barriers and a slower two-wheeler after evidence supports passage.",Yield due to the pedestrian crossing the road ahead,0.056162436223309374,0.5489288,8.7185,1.8875,28.8341,7.6885,7.839,11.503,3073,4580,41,10
13f0af4c-2565-4a4d-b765-7f397f1d1684,9100000,chunk_0270,Yield to the pedestrian since a person is running across our lane ahead,Yield due to a pedestrian crossing the road ahead,0.07445932917231718,0.83288383,1.9584,1.3958,7.0785,6.5141,5.012,11.606,3073,4580,17,10
13f0af4c-2565-4a4d-b765-7f397f1d1684,10100000,chunk_0270,Keep speed through the intersection since the traffic light is green,Keep speed through the intersection since the traffic light is green.,1.0000000000000002,0.95926833,3.5791,3.122,11.7066,10.2921,4.664,12.279,3073,4580,14,12
13f0af4c-2565-4a4d-b765-7f397f1d1684,11100000,chunk_0270,Keep speed through the intersection since the traffic light is green,Keep speed through the intersection since the traffic light is green.,1.0000000000000002,0.95926833,2.908,1.6073,8.716,3.5597,4.671,12.108,3073,4580,14,12
13f0af4c-2565-4a4d-b765-7f397f1d1684,12100000,chunk_0270,Slow down due to a pedestrian walking across the crosswalk ahead,Slow down due to pedestrians crossing the crosswalk ahead,0.5082381284169083,0.9213559,1.1001,1.9297,1.982,5.9907,4.777,11.651,3073,4580,15,10
13f0af4c-2565-4a4d-b765-7f397f1d1684,13100000,chunk_0270,Yield to the pedestrian walking across the crosswalk ahead,Yield due to a pedestrian walking across the crosswalk,0.7531864870734272,0.947358,1.6451,1.0869,4.1871,1.4246,4.69,11.863,3073,4580,14,11
13f0af4c-2565-4a4d-b765-7f397f1d1684,14100000,chunk_0270,Yield by slowing due to the pedestrian in the crosswalk,Yield by slowing due to a pedestrian in the crosswalk,0.9285846397671491,0.99783975,1.7297,1.6179,5.9501,6.2109,4.812,12.176,3073,4580,15,12
13f0af4c-2565-4a4d-b765-7f397f1d1684,15100000,chunk_0270,Yield due to a pedestrian walking across our lane in the crosswalk,Yield due to a pedestrian in the crosswalk requiring speed reduction.,0.34339830572030516,0.848112,0.8145,0.9994,1.7231,2.7725,5.033,12.77,3073,4580,17,14
