pred_idx,point_idx,time_from_start_s,target_stamp_s,gt_stamp_s,gt_dt_error_s,track_id,class_name,pred_x,pred_y,actor_x_t0,actor_y_t0,center_distance_m,clearance_m
8,59,5.900,1552440203.861536,1552440203.862528,0.000992,AWjsPzPKZ7MTv8Ta3AXBbQ,vehicle,45.844955,-11.166561,46.403810,-9.191034,2.053052,0.000000
8,59,5.900,1552440203.861536,1552440203.862528,0.000992,YZp0XjCF9MO6a2x7szWEXA,vehicle,45.844955,-11.166561,41.848822,-9.101982,4.497951,0.000000
8,60,6.000,1552440203.961536,1552440203.962552,0.001016,AWjsPzPKZ7MTv8Ta3AXBbQ,vehicle,46.802452,-11.359077,46.403806,-9.191112,2.204311,0.000000
8,61,6.100,1552440204.061536,1552440204.062537,0.001001,AWjsPzPKZ7MTv8Ta3AXBbQ,vehicle,47.758148,-11.550215,46.403806,-9.191112,2.720222,0.000000
9,18,1.800,1552440200.762023,1552440200.762574,0.000551,kXyEv2zRlXCiI09I_nYVDA,vehicle,14.866549,-1.208010,18.911528,-0.538198,4.100062,0.000000
9,19,1.900,1552440200.862023,1552440200.862590,0.000567,kXyEv2zRlXCiI09I_nYVDA,vehicle,15.575611,-1.416224,18.942122,-1.260030,3.370133,0.000000
9,20,2.000,1552440200.962023,1552440200.962606,0.000583,kXyEv2zRlXCiI09I_nYVDA,vehicle,16.266520,-1.652533,18.973427,-1.982144,2.726902,0.000000
9,21,2.100,1552440201.062023,1552440201.062589,0.000566,kXyEv2zRlXCiI09I_nYVDA,vehicle,16.937428,-1.917067,19.005777,-2.704259,2.213084,0.000000
9,22,2.200,1552440201.162023,1552440201.162602,0.000579,kXyEv2zRlXCiI09I_nYVDA,vehicle,17.586403,-2.209287,19.037777,-3.426439,1.894187,0.000000
9,23,2.300,1552440201.262023,1552440201.262585,0.000562,kXyEv2zRlXCiI09I_nYVDA,vehicle,18.211775,-2.528185,19.068356,-4.148370,1.832683,0.000000
9,24,2.400,1552440201.362023,1552440201.362569,0.000546,kXyEv2zRlXCiI09I_nYVDA,vehicle,18.812363,-2.872562,19.098955,-4.869621,2.017518,0.000000
9,25,2.500,1552440201.462023,1552440201.462555,0.000532,kXyEv2zRlXCiI09I_nYVDA,vehicle,19.387522,-3.241214,19.130261,-5.590981,2.363808,0.000000
9,26,2.600,1552440201.562023,1552440201.562537,0.000514,kXyEv2zRlXCiI09I_nYVDA,vehicle,19.936897,-3.632973,19.163063,-6.376115,2.850202,0.000000
9,27,2.700,1552440201.662023,1552440201.662519,0.000496,kXyEv2zRlXCiI09I_nYVDA,vehicle,20.460262,-4.046612,19.195157,-7.161640,3.362125,0.000000
9,28,2.800,1552440201.762023,1552440201.762541,0.000518,kXyEv2zRlXCiI09I_nYVDA,vehicle,20.957317,-4.480735,19.227796,-7.947262,3.874023,0.000000
9,29,2.900,1552440201.862023,1552440201.862530,0.000507,kXyEv2zRlXCiI09I_nYVDA,vehicle,21.427723,-4.933711,19.260429,-8.732467,4.373524,0.000000
9,30,3.000,1552440201.962023,1552440201.962511,0.000488,kXyEv2zRlXCiI09I_nYVDA,vehicle,21.871319,-5.403878,19.292709,-9.517812,4.855274,0.000000
9,31,3.100,1552440202.062023,1552440202.062501,0.000478,kXyEv2zRlXCiI09I_nYVDA,vehicle,22.288246,-5.889910,19.325335,-10.303345,5.315755,0.000000
9,56,5.600,1552440204.562023,1552440204.562527,0.000504,-ItvfksmEcYtVEcOjjRESg,vehicle,22.744833,-21.071735,19.211811,-21.849589,3.617637,0.000000
9,57,5.700,1552440204.662023,1552440204.662544,0.000521,-ItvfksmEcYtVEcOjjRESg,vehicle,22.341984,-21.673809,19.220670,-22.788321,3.314323,0.000000
9,58,5.800,1552440204.762023,1552440204.762531,0.000508,-ItvfksmEcYtVEcOjjRESg,vehicle,21.903229,-22.264334,19.229180,-23.726677,3.047784,0.000000
9,59,5.900,1552440204.862023,1552440204.862543,0.000520,-ItvfksmEcYtVEcOjjRESg,vehicle,21.427059,-22.840084,19.238585,-24.700224,2.872201,0.000000
9,60,6.000,1552440204.962023,1552440204.962566,0.000543,-ItvfksmEcYtVEcOjjRESg,vehicle,20.912153,-23.397720,19.247819,-25.673898,2.819750,0.000000
9,61,6.100,1552440205.062023,1552440205.062588,0.000565,-ItvfksmEcYtVEcOjjRESg,vehicle,20.357277,-23.933743,19.257053,-26.647562,2.928362,0.000000
9,62,6.200,1552440205.162023,1552440205.162607,0.000584,-ItvfksmEcYtVEcOjjRESg,vehicle,19.761347,-24.444599,19.266286,-27.621195,3.214941,0.000000
9,63,6.300,1552440205.262023,1552440205.262596,0.000573,-ItvfksmEcYtVEcOjjRESg,vehicle,19.123428,-24.926546,19.275513,-28.594673,3.671278,0.000000
