run,rail,n_power_samples,n_inferences,overall_mean_w,overall_p95_w,overall_peak_w,active_mean_w,active_p95_w,active_peak_w
exp/tok16,vdd_gpu_w,48361,12,10.7500,38.9506,43.6896,28.5138,42.4915,43.6896
exp/tok16,vdd_cpu_soc_mss_w,48361,12,9.8702,16.5312,17.3184,15.4654,16.9248,17.3184
exp/tok16,vin_sys_5v0_w,48361,12,8.3119,15.6182,16.0266,14.3980,15.8224,16.0266
exp/tok16,total_w,48361,12,37.5271,85.9560,114.4540,72.7377,97.8780,114.4540
exp/tok16,module_sum_w,48361,12,28.9321,70.6054,77.0168,58.3772,74.8451,77.0168
exp/tok32,vdd_gpu_w,48154,12,10.8435,38.5728,43.6718,28.5166,42.4915,43.6718
exp/tok32,vdd_cpu_soc_mss_w,48154,12,10.0438,16.5379,17.7120,15.6205,16.9248,17.7120
exp/tok32,vin_sys_5v0_w,48154,12,8.3559,15.6182,15.9245,14.4175,15.8224,15.9245
exp/tok32,total_w,48154,12,37.8498,86.0660,112.0460,72.9877,97.4400,112.0460
exp/tok32,module_sum_w,48154,12,29.2432,70.4307,76.5211,58.5546,74.8451,76.5211
exp/tok64,vdd_gpu_w,48566,12,10.8754,38.5571,43.2960,27.8381,42.0981,43.2960
exp/tok64,vdd_cpu_soc_mss_w,48566,12,10.2604,16.9248,18.4992,15.8217,17.3184,18.4992
exp/tok64,vin_sys_5v0_w,48566,12,8.4778,15.6182,15.9245,14.4974,15.8224,15.9245
exp/tok64,total_w,48566,12,38.2226,85.9100,114.1600,72.4178,97.2880,114.1600
exp/tok64,module_sum_w,48566,12,29.6136,70.6054,76.1453,58.1572,74.7536,76.1453
exp_clean/tok16,vdd_gpu_w,48388,12,10.8989,38.5728,43.6718,28.4690,42.0981,43.6718
exp_clean/tok16,vdd_cpu_soc_mss_w,48388,12,9.9151,16.5312,17.3254,15.5444,16.9248,17.3184
exp_clean/tok16,vin_sys_5v0_w,48388,12,8.3187,15.6182,15.9245,14.4083,15.8224,15.9245
exp_clean/tok16,total_w,48388,12,37.7761,86.0320,111.4740,72.8024,97.4680,111.4740
exp_clean/tok16,module_sum_w,48388,12,29.1326,70.3139,76.1275,58.4216,74.4517,76.1275
exp_clean/tok32,vdd_gpu_w,48174,12,10.9620,38.9506,43.6718,28.5603,42.4915,43.6718
exp_clean/tok32,vdd_cpu_soc_mss_w,48174,12,9.9995,16.5379,17.3254,15.5939,16.9248,17.3184
exp_clean/tok32,vin_sys_5v0_w,48174,12,8.3569,15.6957,15.9245,14.4589,15.8224,15.9245
exp_clean/tok32,total_w,48174,12,37.9661,86.3580,114.8640,73.0538,98.0580,114.8640
exp_clean/tok32,module_sum_w,48174,12,29.3184,70.6917,76.1275,58.6131,75.2386,76.1275
exp_clean/tok64,vdd_gpu_w,47985,12,10.9280,38.9506,42.8850,28.3560,42.0981,42.8850
exp_clean/tok64,vdd_cpu_soc_mss_w,47985,12,10.0704,16.5379,18.9005,15.6201,16.9248,17.7120
exp_clean/tok64,vin_sys_5v0_w,47985,12,8.3863,15.6182,15.9245,14.4526,15.8224,15.9245
exp_clean/tok64,total_w,47985,12,38.0459,86.0280,112.3300,72.8280,97.6520,112.3300
exp_clean/tok64,module_sum_w,47985,12,29.3847,70.6917,75.3406,58.4288,74.7430,75.3406
exp_eval/moving_diff2,vdd_gpu_w,50151,46,22.5486,42.8850,44.8522,30.7270,43.2784,44.8522
exp_eval/moving_diff2,vdd_cpu_soc_mss_w,50151,46,13.7601,16.9317,17.7120,15.9920,17.3184,17.7120
exp_eval/moving_diff2,vin_sys_5v0_w,50151,46,12.3558,15.9245,16.2307,14.8867,16.0266,16.2307
exp_eval/moving_diff2,total_w,50151,46,58.9393,97.3320,117.5580,75.6171,99.8480,117.5580
exp_eval/moving_diff2,module_sum_w,50151,46,48.6645,75.7341,78.4013,61.6057,76.1277,78.4013
frame_trace_0p1_loki,vdd_gpu_w,48021,29,17.0899,42.0981,44.0653,30.1428,42.5088,44.0653
frame_trace_0p1_loki,vdd_cpu_soc_mss_w,48021,29,11.9169,16.9248,17.7192,15.8537,16.9248,17.3254
frame_trace_0p1_loki,vin_sys_5v0_w,48021,29,10.4259,15.8224,16.0266,14.7059,15.8224,16.0266
frame_trace_0p1_loki,total_w,48021,29,48.9134,93.6920,113.5520,74.7107,98.3240,113.5520
frame_trace_0p1_loki,module_sum_w,48021,29,39.4327,74.6413,77.0098,60.7024,75.2493,77.0098
frame_trace_loki,vdd_gpu_w,47819,12,10.8016,38.9664,43.6718,29.2090,42.4915,43.6718
frame_trace_loki,vdd_cpu_soc_mss_w,47819,12,9.7507,16.5312,17.7192,15.4534,16.9248,17.3184
frame_trace_loki,vin_sys_5v0_w,47819,12,8.2037,15.6182,16.0266,14.4308,15.8224,16.0266
frame_trace_loki,total_w,47819,12,37.3515,86.2460,111.5660,73.7450,98.6540,111.5660
frame_trace_loki,module_sum_w,47819,12,28.7560,71.0851,76.6232,59.0933,74.7603,76.6232
kv/mcity_diff2,vdd_gpu_w,116890,137,15.1399,28.7211,35.0304,19.7338,29.9136,35.0304
kv/mcity_diff2,vdd_cpu_soc_mss_w,116890,137,13.3974,16.5379,18.4992,15.5203,16.9248,18.4992
kv/mcity_diff2,vin_sys_5v0_w,116890,137,11.7879,15.3899,15.5938,14.1251,15.4918,15.5938
kv/mcity_diff2,total_w,116890,137,50.0523,88.1240,108.5340,63.8727,90.3240,108.5340
kv/mcity_diff2,module_sum_w,116890,137,40.3252,56.4034,66.6627,49.3791,57.6998,66.6627
kv/waymo_moving_diff2,vdd_gpu_w,51411,43,21.4254,41.7216,43.6718,29.7663,42.0981,43.6718
kv/waymo_moving_diff2,vdd_cpu_soc_mss_w,51411,43,13.6548,17.3114,18.9005,16.0205,17.3184,18.9005
kv/waymo_moving_diff2,vin_sys_5v0_w,51411,43,12.0618,15.8224,17.1226,14.7045,15.8224,17.1226
kv/waymo_moving_diff2,total_w,51411,43,57.3184,95.3920,112.4740,74.3009,97.9620,112.4740
kv/waymo_moving_diff2,module_sum_w,51411,43,47.1420,74.4450,76.6232,60.4913,74.8451,76.6232
mcity_top_level,vdd_gpu_w,120422,133,15.0683,28.7328,35.8176,19.8951,30.3072,35.8176
mcity_top_level,vdd_cpu_soc_mss_w,120422,133,13.0105,16.5379,17.7120,15.3267,16.5379,17.7120
mcity_top_level,vin_sys_5v0_w,120422,133,11.6415,15.5938,15.7976,14.1953,15.5938,15.7976
mcity_top_level,total_w,120422,133,49.3424,89.3300,108.8460,64.0687,91.6200,108.8460
mcity_top_level,module_sum_w,120422,133,39.7203,56.3443,67.0394,49.4171,57.7141,67.0394
nav_continue_straight_loki,vdd_gpu_w,48021,19,19.4944,42.4915,44.4587,33.2117,42.8850,44.4587
nav_continue_straight_loki,vdd_cpu_soc_mss_w,48021,19,12.3070,17.3114,18.1056,16.3176,17.3184,18.1056
nav_continue_straight_loki,vin_sys_5v0_w,48021,19,10.7992,15.9245,16.1286,15.1201,15.9245,16.1286
nav_continue_straight_loki,total_w,48021,19,52.2995,95.7760,114.8360,77.9468,99.5400,114.8360
nav_continue_straight_loki,module_sum_w,48021,19,42.6006,75.2389,77.5122,64.6494,75.7342,77.5122
nav_pub_stop_red_loki,vdd_gpu_w,47922,18,19.4944,42.8850,44.4768,32.8140,43.6718,44.4768
nav_pub_stop_red_loki,vdd_cpu_soc_mss_w,47922,18,12.5330,17.3184,19.6880,16.4636,17.7120,19.6800
nav_pub_stop_red_loki,vin_sys_5v0_w,47922,18,10.9606,16.1286,16.3328,15.2173,16.2307,16.3328
nav_pub_stop_red_loki,total_w,47922,18,52.8249,97.2380,118.2240,77.9846,101.4020,118.2240
nav_pub_stop_red_loki,module_sum_w,47922,18,42.9879,76.3250,78.1210,64.4949,76.8099,78.1210
precision/mcity_bf16,vdd_gpu_w,116324,175,17.9254,31.4752,40.1309,22.1644,33.0490,40.1309
precision/mcity_bf16,vdd_cpu_soc_mss_w,116324,175,14.9272,19.2864,19.6880,16.9018,19.2864,19.6880
precision/mcity_bf16,vin_sys_5v0_w,116324,175,13.1820,17.5027,17.8080,15.2493,17.6045,17.8080
precision/mcity_bf16,total_w,116324,175,56.1845,96.4600,125.4520,69.9103,102.3820,125.4520
precision/mcity_bf16,module_sum_w,116324,175,46.0346,62.7277,75.7309,54.3154,64.1456,75.7309
precision/mcity_fp16,vdd_gpu_w,116507,77,22.3248,31.8816,40.1309,25.9761,33.0490,40.1309
precision/mcity_fp16,vdd_cpu_soc_mss_w,116507,77,15.4165,17.7120,18.9005,16.8495,17.7120,18.9005
precision/mcity_fp16,vin_sys_5v0_w,116507,77,13.2464,15.3120,15.9245,14.6758,15.3120,15.9245
precision/mcity_fp16,total_w,116507,77,61.4991,87.5240,114.1920,70.7273,89.9320,114.1920
precision/mcity_fp16,module_sum_w,116507,77,50.9877,62.5170,74.1373,57.5014,63.4547,74.1373
precision/waymo_bf16,vdd_gpu_w,49985,46,22.6937,42.0981,51.9130,30.7325,42.4915,51.9130
precision/waymo_bf16,vdd_cpu_soc_mss_w,49985,46,13.9439,17.3184,20.0818,16.1352,18.4992,20.0818
precision/waymo_bf16,vin_sys_5v0_w,49985,46,12.3651,15.8224,17.6322,14.8011,16.5110,17.6322
precision/waymo_bf16,total_w,49985,46,59.2358,96.9040,133.9980,75.5345,99.5460,133.9980
precision/waymo_bf16,module_sum_w,49985,46,49.0027,74.7434,88.4160,61.6688,75.2387,88.4160
precision/waymo_fp16,vdd_gpu_w,49568,26,23.7685,47.9802,50.7331,30.2057,48.7667,50.7331
precision/waymo_fp16,vdd_cpu_soc_mss_w,49568,26,15.0609,19.2786,20.4589,17.1236,19.6640,20.4589
precision/waymo_fp16,vin_sys_5v0_w,49568,26,12.7839,16.8168,17.2245,14.8900,16.9187,17.2245
precision/waymo_fp16,total_w,49568,26,62.0567,103.2440,142.1940,75.1036,108.4180,142.1940
precision/waymo_fp16,module_sum_w,49568,26,51.6134,84.0757,87.6216,62.2192,85.3573,87.6216
precision_default/mcity_bf16,vdd_gpu_w,116695,163,17.8423,31.4880,40.5243,22.2897,33.4424,40.5243
precision_default/mcity_bf16,vdd_cpu_soc_mss_w,116695,163,14.9194,19.2864,20.4672,17.1209,19.2864,20.4672
precision_default/mcity_bf16,vin_sys_5v0_w,116695,163,13.0851,17.6045,17.8360,15.3879,17.6045,17.8360
precision_default/mcity_bf16,total_w,116695,163,56.0113,95.2380,124.1240,69.9467,101.8220,124.1240
precision_default/mcity_bf16,module_sum_w,116695,163,45.8468,63.5146,74.9386,54.7986,65.3710,74.9386
precision_default/mcity_fp16,vdd_gpu_w,116486,73,22.4960,31.8686,40.5243,26.0340,32.6555,40.5243
precision_default/mcity_fp16,vdd_cpu_soc_mss_w,116486,73,15.4603,17.7120,21.2630,16.8889,17.7120,21.2630
precision_default/mcity_fp16,vin_sys_5v0_w,116486,73,13.1597,15.1078,15.7203,14.5503,15.2099,15.7203
precision_default/mcity_fp16,total_w,116486,73,61.6581,85.8780,113.0460,70.5432,88.7780,113.0460
precision_default/mcity_fp16,module_sum_w,116486,73,51.1159,62.2378,74.2408,57.4732,63.2819,74.2408
precision_default/waymo_bf16,vdd_gpu_w,49677,41,22.0976,42.0981,43.6718,29.0848,42.0981,43.6718
precision_default/waymo_bf16,vdd_cpu_soc_mss_w,49677,41,13.9257,16.9248,18.1130,16.0024,17.3114,17.3184
precision_default/waymo_bf16,vin_sys_5v0_w,49677,41,12.3934,15.7203,16.0266,14.7180,15.8224,16.0266
precision_default/waymo_bf16,total_w,49677,41,58.7021,95.6040,115.6080,73.2839,97.7780,115.6080
precision_default/waymo_bf16,module_sum_w,49677,41,48.4167,74.3667,76.5142,59.8052,74.7434,76.5142
precision_default/waymo_fp16,vdd_gpu_w,49325,23,23.1587,46.0138,50.3603,29.4543,47.5869,50.3603
precision_default/waymo_fp16,vdd_cpu_soc_mss_w,49325,23,14.8297,18.8851,20.0654,16.9259,19.2786,20.0654
precision_default/waymo_fp16,vin_sys_5v0_w,49325,23,12.6318,16.5110,17.2245,14.7625,16.7149,17.2245
precision_default/waymo_fp16,total_w,49325,23,61.0101,98.5240,142.0580,73.8461,102.7920,142.0580
precision_default/waymo_fp16,module_sum_w,49325,23,50.6203,81.3525,86.8429,61.1427,83.6822,86.8429
top_level,vdd_gpu_w,130829,25,9.1954,32.2752,43.2960,,,
top_level,vdd_cpu_soc_mss_w,130829,25,8.9971,16.5379,17.7120,,,
top_level,vin_sys_5v0_w,130829,25,7.5026,15.5162,15.9245,,,
top_level,total_w,130829,25,34.0422,79.9300,118.4280,,,
top_level,module_sum_w,130829,25,25.6951,63.5797,76.1277,,,
traj_samples/mcity_k1,vdd_gpu_w,116331,196,19.5462,33.4424,40.5243,23.5753,34.2293,40.5243
traj_samples/mcity_k1,vdd_cpu_soc_mss_w,116331,196,15.9694,19.2942,20.8608,17.8343,19.6800,20.8608
traj_samples/mcity_k1,vin_sys_5v0_w,116331,196,14.2195,17.8080,18.0398,16.1046,17.9098,18.0398
traj_samples/mcity_k1,total_w,116331,196,60.2279,104.6320,125.1820,73.6502,107.7520,125.1820
traj_samples/mcity_k1,module_sum_w,116331,196,49.7351,64.8424,75.8328,57.5143,65.9763,75.8328
traj_samples/mcity_k2,vdd_gpu_w,116127,120,20.2361,42.4915,52.3062,26.4029,45.2272,52.3062
traj_samples/mcity_k2,vdd_cpu_soc_mss_w,116127,120,15.2797,19.2864,19.6880,17.9102,19.2942,19.6880
traj_samples/mcity_k2,vin_sys_5v0_w,116127,120,13.4730,17.8080,18.1133,16.1361,17.8080,18.1133
traj_samples/mcity_k2,total_w,116127,120,59.3534,108.2140,149.4200,75.8747,116.4060,149.4200
traj_samples/mcity_k2,module_sum_w,116127,120,48.9887,75.3795,88.0811,60.4493,78.3363,88.0811
traj_samples/mcity_k4,vdd_gpu_w,116124,97,26.0172,55.0368,59.3853,31.0183,55.8458,59.3853
traj_samples/mcity_k4,vdd_cpu_soc_mss_w,116124,97,16.7330,19.6800,20.0818,18.5549,19.6800,20.0818
traj_samples/mcity_k4,vin_sys_5v0_w,116124,97,14.8634,18.0115,18.2150,16.7208,18.0115,18.2150
traj_samples/mcity_k4,total_w,116124,97,68.5959,122.4960,171.1080,81.2931,130.5400,171.1080
traj_samples/mcity_k4,module_sum_w,116124,97,57.6135,91.1243,96.0603,66.2940,92.0352,96.0603
traj_samples/waymo_k1,vdd_gpu_w,49640,46,22.8111,42.0981,52.3062,30.6363,42.4915,52.3062
traj_samples/waymo_k1,vdd_cpu_soc_mss_w,49640,46,15.0285,19.6720,22.0416,17.2429,20.0654,22.0416
traj_samples/waymo_k1,vin_sys_5v0_w,49640,46,12.5982,16.0014,17.4283,14.9382,16.7149,17.4283
traj_samples/waymo_k1,total_w,49640,46,60.7252,98.3940,133.2020,76.6002,101.0600,133.2020
traj_samples/waymo_k1,module_sum_w,49640,46,50.4378,76.4197,88.8093,62.8174,76.9077,88.8093
traj_samples/waymo_k2,vdd_gpu_w,50120,34,28.0348,59.7786,62.5315,38.5988,60.1963,62.5315
traj_samples/waymo_k2,vdd_cpu_soc_mss_w,50120,34,15.2248,19.6800,32.6422,17.9617,19.6800,32.6422
traj_samples/waymo_k2,vin_sys_5v0_w,50120,34,13.0853,17.5302,18.0398,15.8259,17.7341,18.0398
traj_samples/waymo_k2,total_w,50120,34,66.9539,130.6100,179.1340,86.4782,139.0540,179.1340
traj_samples/waymo_k2,module_sum_w,50120,34,56.3448,95.6547,106.1933,72.3864,96.1574,106.1933
traj_samples/waymo_k4,vdd_gpu_w,49357,22,34.2797,61.3517,63.7114,44.6637,61.7198,63.7114
traj_samples/waymo_k4,vdd_cpu_soc_mss_w,49357,22,16.3970,20.0736,20.4755,18.8569,20.0736,20.4755
traj_samples/waymo_k4,vin_sys_5v0_w,49357,22,14.1708,17.9379,18.2437,16.6587,17.9379,18.2437
traj_samples/waymo_k4,total_w,49357,22,76.0165,147.6200,178.1620,93.9605,152.7460,178.1620
traj_samples/waymo_k4,module_sum_w,49357,22,64.8475,97.5083,100.1987,80.1793,97.6354,100.1987
traj_samples_default/mcity_k1,vdd_gpu_w,116314,185,19.6544,33.8358,40.9178,23.8370,35.0019,40.9178
traj_samples_default/mcity_k1,vdd_cpu_soc_mss_w,116314,185,16.0710,19.6800,21.6480,18.1213,19.6800,21.6480
traj_samples_default/mcity_k1,vin_sys_5v0_w,116314,185,14.1846,17.9379,18.1418,16.2476,17.9379,18.1418
traj_samples_default/mcity_k1,total_w,116314,185,60.4389,104.6140,125.1640,73.7526,108.1560,125.1640
traj_samples_default/mcity_k1,module_sum_w,116314,185,49.9099,66.0352,76.0058,58.2059,67.4829,76.0058
traj_samples_default/mcity_k2,vdd_gpu_w,116466,55,12.6328,36.1965,53.0928,26.2399,45.2272,53.0928
traj_samples_default/mcity_k2,vdd_cpu_soc_mss_w,116466,55,12.1093,21.2458,25.2006,18.8570,23.6160,25.2006
traj_samples_default/mcity_k2,vin_sys_5v0_w,116466,55,9.9674,17.8360,18.3456,16.1742,18.1133,18.3456
traj_samples_default/mcity_k2,total_w,116466,55,43.8466,92.8140,150.7720,77.1732,118.0460,150.7720
traj_samples_default/mcity_k2,module_sum_w,116466,55,34.7094,70.3246,91.9333,61.2711,78.8173,91.9333
traj_samples_default/mcity_k4,vdd_gpu_w,116304,89,25.4582,54.2726,60.5651,30.2218,55.8458,60.5651
traj_samples_default/mcity_k4,vdd_cpu_soc_mss_w,116304,89,16.2606,19.6800,20.0818,18.0884,19.6800,20.0818
traj_samples_default/mcity_k4,vin_sys_5v0_w,116304,89,14.5632,18.2150,18.4186,16.4760,18.2437,18.4186
traj_samples_default/mcity_k4,total_w,116304,89,67.1457,117.8680,169.0220,79.6274,127.4280,169.0220
traj_samples_default/mcity_k4,module_sum_w,116304,89,56.2820,90.4477,97.7594,64.7863,92.1227,97.7594
traj_samples_default/waymo_k1,vdd_gpu_w,49682,53,26.0634,51.1264,53.0928,35.4247,51.5197,53.0928
traj_samples_default/waymo_k1,vdd_cpu_soc_mss_w,49682,53,15.3865,19.6720,20.0736,18.0824,19.6800,20.0736
traj_samples_default/waymo_k1,vin_sys_5v0_w,49682,53,13.3237,17.7341,18.0398,16.0883,17.8360,18.0398
traj_samples_default/waymo_k1,total_w,49682,53,65.4551,115.5300,137.7760,84.6216,118.9140,137.7760
traj_samples_default/waymo_k1,module_sum_w,49682,53,54.7736,87.7314,90.8842,69.5954,88.2187,90.8842
traj_samples_default/waymo_k2,vdd_gpu_w,49679,35,30.0773,60.5651,63.3181,40.8477,60.9584,63.3181
traj_samples_default/waymo_k2,vdd_cpu_soc_mss_w,49679,35,15.7967,19.6800,20.4755,18.5374,20.0654,20.4755
traj_samples_default/waymo_k2,vin_sys_5v0_w,49679,35,13.6055,17.9098,18.1418,16.3490,17.9379,18.1418
traj_samples_default/waymo_k2,total_w,49679,35,70.3422,136.3520,178.3800,90.6045,144.0360,178.3800
traj_samples_default/waymo_k2,module_sum_w,49679,35,59.4795,96.7467,99.7035,75.7342,97.1478,99.7035
traj_samples_default/waymo_k4,vdd_gpu_w,49484,21,34.4356,61.7450,64.1046,44.3383,62.1382,64.1046
traj_samples_default/waymo_k4,vdd_cpu_soc_mss_w,49484,21,16.5315,20.0736,21.6216,18.9498,20.4422,21.6216
traj_samples_default/waymo_k4,vin_sys_5v0_w,49484,21,14.3313,18.0398,18.3456,16.7299,18.0398,18.3456
traj_samples_default/waymo_k4,total_w,49484,21,76.5235,148.9120,177.3240,93.9223,154.2100,177.3240
traj_samples_default/waymo_k4,module_sum_w,49484,21,65.2985,98.3376,101.2757,80.0180,98.5238,101.2757
