dataset,idx,prompt_kv_seq_len,prefill_P,generated_tokens,kv_capacity_mib,kv_capacity_mib_measured,model_duration_s,kv_decode_read_gb,weight_decode_read_gb,kv_share_of_decode_read_pct
Waymo,27,3081,3072,9,433.266,433.265625,3.3446,4.0828,147.6,2.692
Waymo,28,3081,3072,9,433.266,433.265625,3.3476,4.0828,147.6,2.692
Waymo,29,3095,3072,23,435.234,435.234375,4.9822,10.4577,377.2,2.698
Waymo,30,3085,3072,13,433.828,433.828125,3.7841,5.9013,213.2,2.693
Waymo,31,3085,3072,13,433.828,433.828125,3.7684,5.9013,213.2,2.693
Waymo,32,3084,3072,12,433.688,433.6875,3.6903,5.4464,196.8,2.693
Waymo,33,3081,3072,9,433.266,433.265625,3.3442,4.0828,147.6,2.692
Waymo,34,3084,3072,12,433.688,433.6875,3.7082,5.4464,196.8,2.693
Waymo,35,3082,3072,10,433.406,433.40625,3.4712,4.5372,164.0,2.692
Waymo,36,3081,3072,9,433.266,433.265625,3.3442,4.0828,147.6,2.692
Waymo,37,3081,3072,9,433.266,433.265625,3.3517,4.0828,147.6,2.692
Waymo,38,3081,3072,9,433.266,433.265625,3.3591,4.0828,147.6,2.692
Waymo,39,3082,3072,10,433.406,433.40625,3.3939,4.5372,164.0,2.692
Waymo,40,3081,3072,9,433.266,433.265625,3.311,4.0828,147.6,2.692
Waymo,41,3085,3072,13,433.828,433.828125,3.7678,5.9013,213.2,2.693
Waymo,42,3081,3072,9,433.266,433.265625,3.0027,4.0828,147.6,2.692
